match_id,game_id,league,date,game,away_players,home_players,away_score,home_score
1,1,Cyber,19-Sep,501,3,5,1,0
1,2,Cyber,19-Sep,Cricket,3,5,0,1
1,3,Cyber,19-Sep,Spanish,3,5,0,1
1,4,Cyber,19-Sep,301,3,5,0,1
1,5,Cyber,19-Sep,Minnesota,3,5,0,1
2,6,Cyber,19-Sep,501,1,2,1,0
2,7,Cyber,19-Sep,Cricket,1,2,1,0
2,8,Cyber,19-Sep,Spanish,1,2,1,0
2,9,Cyber,19-Sep,301,1,2,1,0
2,10,Cyber,19-Sep,Minnesota,1,2,0,1
3,11,Cyber,19-Sep,501,7,4,1,0
3,12,Cyber,19-Sep,Cricket,7,4,1,0
3,13,Cyber,19-Sep,Spanish,7,4,1,0
3,14,Cyber,19-Sep,301,7,4,1,0
3,15,Cyber,19-Sep,Minnesota,7,4,1,0
